DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
GU01,1987,2143,11615,10045
GU02,2231,2325,10506,8743
GU03,393,408,4731,4634
GU04,570,620,6633,6568
GU05,352,423,4411,4553
GU06,566,552,6022,5993
GU07,1107,1207,8722,8479
GU08,600,637,7134,7128
GU09,1158,1425,11470,11079
GU10,664,747,9809,9692
GU11,1826,2070,8806,6863
GU12,1545,1953,12343,10969
GU13,736,14,370,30
GU14,2989,3474,21540,18875
GU15,1854,2021,14280,12793
GU16,1045,973,9877,9028
GU17,713,493,5291,4177
GU18,145,179,3000,2983
GU19,226,222,2459,2362
GU20,122,137,1960,1929
GU21,2945,3263,19416,17085
GU22,1867,2191,14469,12851
GU23,231,240,2895,2823
GU24,828,760,7206,6944
GU25,384,404,2824,2847
GU26,249,246,3152,3063
GU27,708,850,6968,6771
GU28,257,256,2707,2649
GU29,306,422,3846,4006
GU30,374,421,4009,3979
GU31,384,437,4605,4518
GU32,517,612,4621,4447
GU33,273,338,3362,3292
GU34,1123,1346,12940,12395
GU35,1000,1170,9712,8734
GU46,381,432,6176,5907
GU47,644,748,7773,7319
GU51,785,755,9862,9330
GU52,447,508,7209,7102
HA00,12765,10472,18737,11444
HA01,4867,5042,15256,11104
HA02,6122,6731,21988,16743
HA03,8802,8533,29897,21787
HA04,2782,3236,19874,17842
HA05,2616,2951,18240,16862
HA06,1243,1562,9556,8913
HA07,3136,3385,15666,13038
HA08,8951,8624,27764,20332
HA09,10195,8356,19666,12570
HD01,2600,2315,6108,3706
HD02,2047,2693,9275,7635
HD03,1443,1949,10686,9719
HD04,1763,2308,9583,7920
HD05,1748,2335,9926,8392
HD06,1331,1532,9381,8470
HD07,984,1286,8374,7586
HD08,966,1211,12789,12199
HD09,1289,1560,13545,12643
HG01,1686,1964,12421,11300
HG02,1440,1616,11960,11519
HG03,895,1007,10905,10614
HG04,924,1188,9638,8981
HG05,641,731,7258,6871
HP01,1292,1473,9717,8862
HP02,2396,2988,14885,12683
HP03,1578,1875,12877,11555
HP04,889,888,9645,9522
HP05,1287,1510,10063,9177
HP06,628,644,5796,5722
HP07,413,485,4359,4189
HP08,227,248,2964,3040
HP09,628,700,7196,7235
HP10,588,673,7987,7925
HP11,1057,1157,5781,4627
HP12,1520,1842,8274,6444
HP13,2546,3128,16152,13603
HP14,577,615,7358,7024
HP15,447,535,7159,7016
HP16,341,380,4953,4953
HP17,323,342,4313,4201
HP18,596,710,7881,7566
HP19,1378,1812,9063,7711
HP20,997,1174,5369,4380
HP21,1851,2335,12376,10609
HP22,822,848,11210,11094
HP23,634,727,7075,6839
HP27,386,403,5173,5034
HR01,1288,1478,12482,11547
HR02,1822,2310,13890,12277
HR03,173,228,3166,3082
HR04,1286,1484,11035,10093
HR05,153,163,1876,1681
HR06,800,966,7933,7208
HR07,218,247,2940,2612
HR08,470,573,5563,5284
HR09,685,821,8528,7916
HS01,311,338,1502,1333
HS02,526,670,5205,4559
HS03,55,68,490,372
HS04,16,17,101,77
HS05,9,12,97,84
HS06,55,98,628,552
HS07,66,99,470,391
HS08,83,108,693,586
HS09,75,54,434,398
HU01,396,279,1004,463
HU02,456,426,1058,438
HU03,3342,3276,7318,4093
HU04,1485,1856,7669,6089
HU05,3795,3936,14421,11070
HU06,2835,3435,8801,6276
HU07,3167,3863,13874,11180
HU08,2261,2826,10926,8566
HU09,3366,4171,10820,7544
HU10,605,702,7520,7173
HU11,345,423,5148,4611
HU12,907,1147,9934,8872
HU13,661,860,5551,4909
HU14,221,232,3474,3427
HU15,640,815,9473,9010
HU16,591,703,6041,5598
HU17,1818,1980,16798,15504
HU18,386,480,3294,2878
HU19,446,531,2465,1692
HU20,24,25,371,368
HX01,2027,2544,6823,4307
HX02,2137,2818,12621,10708
HX03,2319,3021,16137,14056
HX04,423,604,4566,4314
HX05,551,732,3437,2879
HX06,943,1182,6804,5949
HX07,713,828,4636,4602
IG01,11488,9834,22227,13204
IG02,3244,3299,10325,7432
IG03,5327,4948,13395,8630
IG04,953,992,3755,2817
IG05,1340,1558,6479,5352
IG06,2399,2776,10613,8359
IG07,1339,1643,8258,7349
IG08,2395,2806,14011,12381
IG09,557,615,5101,4873
IG10,1572,1901,12004,11384
IG11,9131,8939,18089,10929
IP01,2681,2844,13411,10419
IP02,2030,2425,10392,8031
IP03,1807,2279,11894,9520
IP04,2004,2187,13359,11266
IP05,539,618,7554,7212
IP06,422,499,7119,6720
IP07,465,628,6500,5989
IP08,290,365,4555,4156
IP09,300,336,4656,4453
IP10,73,85,1481,1440
IP11,1146,1495,11976,10272
IP12,883,916,9775,9370
IP13,559,616,7753,7616
IP14,1234,1524,16081,14594
IP15,80,93,887,934
IP16,323,355,2504,2227
IP17,401,511,4805,4693
IP18,119,145,1432,1454
IP19,287,334,4083,3806
IP20,249,271,3284,3072
IP21,249,313,4703,4434
IP22,811,841,8855,8195
IP23,201,269,3045,2817
IP24,1789,2239,9482,7585
IP25,663,795,7375,6613
IP26,297,365,3433,3252
IP27,913,1095,6206,5526
IP28,1053,1302,9249,8932
IP29,217,267,3793,3659
IP30,369,464,5811,5532
IP31,523,709,8418,7976
IP32,776,966,5764,5299
IP33,1111,1326,8356,7440
IV01,186,163,1031,955
IV02,2343,2830,18134,16584
IV03,1471,1674,6124,4957
IV04,166,197,1853,1682
IV05,49,55,541,529
IV06,163,213,1825,1731
IV07,182,240,2396,2273
IV08,34,29,367,386
IV09,56,54,471,468
IV10,103,125,1100,1057
IV11,48,54,325,315
IV12,606,783,4721,4337
IV13,11,19,280,232
IV14,60,95,856,778
IV15,336,368,1973,1750
IV16,61,75,709,659
IV17,379,460,2144,1868
IV18,309,373,2072,1739
IV19,229,271,1716,1539
IV20,133,180,1163,1055
IV21,50,51,458,398
IV22,54,71,620,533
IV23,36,41,363,320
IV24,41,66,575,520
IV25,84,110,979,950
IV26,107,123,720,695
IV27,157,161,1458,1255
IV28,16,14,194,192
IV30,1594,1934,12463,11232
IV31,331,421,2593,2300
IV32,192,190,1856,1775
IV36,702,940,6013,5411
IV40,119,168,979,873
IV41,31,21,138,126
IV42,17,22,198,181
IV43,14,14,123,98
IV44,10,12,111,98
IV45,13,4,122,109
IV46,5,5,39,34
IV47,17,22,261,215
IV48,0,3,37,32
IV49,65,63,452,384
IV51,214,279,2031,1814
IV52,18,24,119,129
IV53,6,3,65,59
IV54,44,75,569,479
IV55,40,49,534,494
IV56,10,5,151,124
IV63,122,126,1042,965
KA01,1430,1833,9806,8569
KA02,287,389,2526,2318
KA03,1838,2532,13500,12243
KA04,258,327,1928,1789
KA05,375,591,3561,3019
KA06,950,1238,6565,5654
KA07,1209,1416,10429,9976
KA08,1252,1688,5541,4334
KA09,645,753,5960,5587
KA10,636,785,6094,5800
KA11,1129,1544,7173,6345
KA12,1126,1556,5573,4517
KA13,996,1301,5571,4841
KA14,31,24,184,162
KA15,312,390,2601,2310
KA16,188,181,1130,882
KA17,164,210,1524,1315
KA18,1032,1420,7048,5755
KA19,344,468,2667,2372
KA20,690,847,2661,2195
KA21,846,953,3822,3282
KA22,666,960,3442,2971
KA23,205,248,2030,1976
KA24,299,439,2049,1833
KA25,413,557,2246,1856
KA26,517,666,3705,3148
KA27,235,307,1837,1749
KA28,46,73,429,363
KA29,60,78,619,590
KA30,452,618,4174,3757
KT01,1942,2081,7677,6190
KT02,2321,2750,12088,10938
KT03,3310,3658,15896,13673
KT04,1572,1772,11758,10797
KT05,1357,1442,7763,6721
KT06,2071,2415,11944,10540
KT07,453,489,4128,4167
KT08,1035,1159,8052,7708
KT09,1351,1501,7980,7125
KT10,956,940,9364,9384
KT11,914,951,7178,7308
KT12,1803,1995,15354,14880
KT13,998,1145,10366,10066
KT14,604,639,5458,5287
KT15,1275,1414,11600,10842
KT16,851,1035,7907,7383
KT17,1173,1163,9867,9123
KT18,726,869,6612,6596
KT19,2083,2401,13616,12655
KT20,687,869,8742,8550
KT21,436,526,5529,5547
KT22,1117,1158,10211,9733
KT23,346,330,4544,4543
KT24,244,262,3954,4051
KW01,439,518,3872,3356
KW02,5,2,33,26
KW03,34,42,411,365
KW05,8,15,129,114
KW06,15,8,164,119
KW07,2,4,47,37
KW08,27,38,320,271
KW09,64,98,653,572
KW10,75,87,614,545
KW11,8,8,52,42
KW12,41,61,646,601
KW13,2,4,36,32
KW14,631,714,4407,3745
KW15,410,504,2941,2706
KW16,148,224,1356,1251
KW17,372,422,3592,3283
KY01,1375,1760,8474,7017
KY02,1504,2049,10353,9151
KY03,539,651,3959,3611
KY04,1140,1581,7665,6369
KY05,1089,1550,6538,5272
KY06,1074,1351,6257,5487
KY07,1499,1829,9357,8163
KY08,1872,2428,11510,9863
KY09,71,72,727,750
KY10,396,491,3334,3143
KY11,3274,3990,21755,19566
KY12,1889,2221,14294,12895
KY13,367,410,4697,4665
KY14,218,294,2651,2441
KY15,768,1009,8156,7652
KY16,1176,1357,6336,5832
L01,667,576,1513,839
L02,94,58,265,122
L03,1151,1079,3461,2174
L04,4080,4961,9849,6771
L05,1502,1854,3247,1985
L06,2961,2936,5297,3018
L07,2609,2379,3876,2030
L08,4487,4568,7286,4473
L09,2398,3095,9235,7073
L10,901,1288,5086,4222
L11,2529,3474,7332,5521
L12,1656,2181,10818,9685
L13,2801,3327,8252,5945
L14,2170,3066,7767,6283
L15,2559,2700,7225,5482
L16,691,839,5385,4950
L17,1644,1731,7179,6115
L18,1297,1578,8959,8241
L19,1546,1843,7768,6722
L20,3268,3825,8450,5877
L21,1993,2609,6908,5334
L22,975,1076,4506,3769
L23,1604,1927,11125,10260
L24,1350,1870,4696,3458
L25,2029,2416,11770,10178
L26,1062,1321,5211,4602
L27,544,802,1782,1332
L28,647,851,1698,1082
L29,23,23,210,201
L30,1515,2024,5747,4513
L31,1254,1431,11505,10529
L32,1769,2331,5891,4412
L33,1575,2124,5084,3908
L34,655,759,4650,3887
L35,1699,2394,10598,8803
L36,3153,4287,12499,10254
L37,822,950,9193,8992
L38,86,90,1056,1062
L39,1055,1163,10064,9556
L40,578,608,7665,7175
L41,113,129,105,51
L43,87,128,149,122
L45,21,24,59,37
L46,18,26,75,35
L47,15,13,38,29
L48,12,14,50,38
L60,6,17,94,88
L61,13,12,40,50
L62,29,30,66,48
L63,19,19,80,47
L64,28,24,109,99
L65,24,24,57,29
L66,25,29,120,98
LA01,3417,3969,15091,12750
LA02,628,739,8543,8235
LA03,1441,1652,9047,7850
LA04,1477,1744,8714,7370
LA05,505,617,6432,6164
LA06,310,382,5548,5506
LA07,133,156,2057,1983
LA08,188,219,3862,3716
LA09,1176,1452,11561,10632
LA10,109,102,1405,1344
LA11,245,289,4058,3960
LA12,670,818,7926,7255
LA13,1030,1253,6800,5951
LA14,2561,3001,11764,9404
LA15,333,445,2778,2439
LA16,100,132,1361,1175
LA17,19,34,503,471
LA18,351,457,2910,2394
LA19,18,39,424,395
LA20,16,37,532,497
LA21,31,42,406,372
LA22,230,238,1834,1683
LA23,435,437,3323,2965
LD01,352,441,4483,4068
LD02,150,170,2194,2051
LD03,758,802,7553,6972
LD04,19,22,312,289
LD05,30,44,446,397
LD06,76,116,1084,972
LD07,116,171,1875,1665
LD08,98,119,1818,1729
LE01,1825,1659,2868,1417
LE02,9407,10387,35670,28259
LE03,8157,9389,33121,24972
LE04,9517,11502,32763,24196
LE05,8923,10165,28618,20906
LE06,324,425,4843,4449
LE07,1316,1710,19414,18116
LE08,994,1324,15051,14487
LE09,1811,2272,22766,20962
LE10,1770,2120,19884,17795
LE11,3931,4007,19528,15085
LE12,2037,2503,25825,24307
LE13,1081,1394,9968,8740
LE14,402,508,7455,7113
LE15,1002,1314,13051,12448
LE16,1237,1399,14158,13497
LE17,567,673,9111,8450
LE18,1397,1866,11843,10314
LE19,452,627,5955,5610
LE65,529,636,6289,5785
LE67,2253,2873,23660,20922
LL11,1856,2359,13413,11415
LL12,1209,1380,10519,9581
LL13,2275,2642,10996,8961
LL14,1703,2456,11070,9135
LL15,381,438,4007,3786
LL16,649,821,5619,5178
LL17,176,222,2172,2061
LL18,2588,3208,13951,11954
LL19,959,1243,7204,6415
LL20,358,357,3167,2773
LL21,197,255,2611,2338
LL22,666,876,6995,6274
LL23,128,133,1580,1352
LL24,52,77,870,717
LL25,21,14,190,181
LL26,182,240,1622,1410
LL27,33,50,319,280
LL28,491,620,5084,4873
LL29,1208,1425,6790,6018
LL30,1110,1349,7318,6540
LL31,387,488,3629,3449
LL32,286,371,2461,2305
LL33,194,227,1369,1263
LL34,191,287,1545,1410
LL35,20,27,295,248
LL36,147,204,1664,1460
LL37,14,20,245,190
LL38,15,40,282,217
LL39,8,15,87,73
LL40,161,185,1579,1397
LL41,306,423,2123,1714
LL42,137,171,776,639
LL43,11,16,212,188
LL44,24,37,377,370
LL45,29,16,241,228
LL46,51,57,664,614
LL47,14,31,234,198
LL48,100,123,889,808
LL49,221,217,1500,1271
LL51,27,27,341,290
LL52,78,95,1004,957
LL53,487,568,6106,5609
LL54,441,499,4133,3737
LL55,1011,1212,7299,6560
LL56,101,90,833,785
LL57,1795,1820,7577,6407
LL58,141,189,1404,1260
LL59,256,251,2065,1975
LL60,100,109,1192,1120
LL61,212,223,2328,2210
LL62,63,46,718,662
LL63,48,58,516,448
LL64,34,29,308,275
LL65,1261,1492,8232,7151
LL66,7,9,111,102
LL67,51,78,497,453
LL68,257,319,2272,2002
LL69,24,34,288,230
LL70,9,12,113,114
LL71,69,70,702,646
LL72,34,46,266,239
LL73,1,2,91,90
LL74,73,66,973,940
LL75,54,51,542,526
LL76,11,11,124,115
LL77,270,376,2520,2369
LL78,13,16,202,208
LN01,1256,1435,9783,8513
LN02,2195,2631,13363,11571
LN03,286,342,3907,3593
LN04,1255,1606,15360,14026
LN05,1938,2123,11396,9413
LN06,2554,3166,21648,19539
LN07,191,244,2612,2401
LN08,542,689,7085,6459
LN09,329,364,3885,3535
LN10,140,166,2493,2342
LN11,1058,1298,10981,10262
LN12,570,700,4949,3977
LN13,323,358,3224,2946
LS01,299,310,868,511
LS02,973,811,1402,679
LS03,346,334,553,307
LS04,833,830,2257,1603
LS05,610,763,2389,1866
LS06,3366,3251,8724,6497
LS07,3097,3623,8587,6813
LS08,4627,5065,15091,11810
LS09,4552,5272,9358,5217
LS10,2974,4021,10478,7508
LS11,3978,4433,9267,5449
LS12,3274,3954,12301,9004
LS13,2574,3459,10928,8740
LS14,2691,3654,10607,8434
LS15,1798,2243,12691,10978
LS16,1731,2093,13125,12295
LS17,1741,2383,17046,15906
LS18,1239,1068,8234,7146
LS19,801,1015,7430,6904
LS20,498,551,4824,4631
LS21,698,863,6973,6585
LS22,471,570,6511,6385
LS23,276,303,3469,3460
LS24,359,464,4768,4469
LS25,1523,2091,15714,14229
LS26,1315,1818,11069,9883
LS27,1845,2515,12979,10875
LS28,1745,2385,14329,12994
LS29,1071,1163,12706,12564
LS42,0,0,0,1
LU01,6262,5588,15126,9396
LU02,4182,4928,21976,17500
LU03,5093,6373,22006,16288
LU04,5185,6420,18029,12209
LU05,2131,2737,15142,12509
LU06,1289,1650,13667,12020
LU07,2047,2478,23306,21218
M01,1044,750,2556,1265
M02,15,12,53,30
M03,1181,995,3836,2231
M04,1078,909,3696,2337
M05,1891,1947,4902,3168
M06,3405,3354,9779,6884
M07,3470,3007,8433,5628
M08,4850,4439,10211,5795
M09,4172,5111,11390,8323
M10,83,68,67,21
M11,2628,3227,5805,3889
M12,3115,2671,4905,2646
M13,3893,3152,5990,3126
M14,6238,5386,10755,6546
M15,2664,2105,5503,3042
M16,3819,4127,11354,8396
M17,3,5,14,4
M18,2739,3146,6233,4148
M19,3938,4002,11388,8388
M20,3366,3688,15832,13787
M21,2178,2435,10013,8861
M22,3794,4641,12342,9657
M23,2516,3122,9496,7883
M24,3335,4038,15820,12956
M25,1922,2163,11051,9635
M26,2066,2583,12205,10480
M27,2379,2898,13909,11911
M28,1862,2167,15374,14092
M29,1006,1193,8786,7982
M30,2802,3237,12140,9418
M31,717,879,2532,2158
M32,2104,2497,9544,8251
M33,2925,3323,22614,20792
M34,2588,3164,16526,14116
M35,1293,1542,6970,5837
M38,1160,1557,3738,2801
M40,4399,5233,12116,8629
M41,1867,2178,15343,14279
M43,1425,2012,7880,6349
M44,1089,1417,6831,5773
M45,1291,1629,7977,7154
M46,1138,1400,7658,6340
M50,316,309,1472,892
ME01,1791,2249,11239,9703
ME02,2210,2860,15189,13063
ME03,1078,1314,11587,10579
ME04,2861,3106,10100,7332
ME05,2462,3300,19522,17034
ME06,487,647,4057,3706
ME07,3862,4786,17101,13660
ME08,2150,2639,18923,17007
ME09,791,911,9150,8449
ME10,2672,3206,17651,15226
ME11,292,353,1216,976
ME12,2152,2805,14088,11655
ME13,1336,1612,10255,9449
ME14,1496,1677,12473,10736
ME15,2605,3157,18680,15898
ME16,1532,1900,12180,10508
ME17,760,881,10535,9700
ME18,221,248,2961,2797
ME19,724,894,9431,9262
ME20,804,945,8190,7697
MK01,69,63,306,168
MK02,1385,1817,5134,3808
MK03,1409,1821,9309,8262
MK04,1130,1455,8230,7737
MK05,913,1034,5695,5255
MK06,3539,4152,9191,6318
MK07,768,946,5715,5159
MK08,713,949,5066,4461
MK09,499,451,1356,663
MK10,966,1256,7060,6472
MK11,542,698,3424,3085
MK12,1150,1387,4870,3715
MK13,1566,1795,6821,5442
MK14,1776,2148,7756,5990
MK15,405,446,2833,2665
MK16,743,877,7380,6896
MK17,514,569,7886,7706
MK18,1503,1563,12991,12541
MK19,369,430,4923,4670
MK40,2927,2903,12109,9098
MK41,2288,2663,15642,14207
MK42,3437,4645,17679,14221
MK43,1379,1415,15448,14906
MK44,476,479,6875,6723
MK45,1470,1653,19100,18065
MK46,253,323,3699,3554
ML01,3240,4212,18836,15621
ML02,2276,2851,12603,10405
ML03,2972,3800,17784,14954
ML04,1498,1987,6864,5569
ML05,2949,3770,14541,11840
ML06,2998,3899,18451,15611
ML07,749,1023,5116,4251
ML08,683,987,7253,6628
ML09,1214,1658,8193,7056
ML10,401,474,4396,4218
ML11,1330,1883,12726,11279
ML12,220,392,3632,3327
N01,11037,12121,26150,18888
N01C,79,121,262,183
N02,2292,2476,9225,8229
N03,2495,2755,11718,10061
N04,7611,7283,15921,11074
N05,2547,2866,7800,6288
N06,1513,1805,7209,6444
N07,6225,6628,13475,9325
N08,4910,4883,13475,10738
N09,7100,8290,15808,11194
N10,2587,2967,9481,8382
N11,3136,3418,10921,8333
N12,2813,3135,12593,10541
N13,3421,3454,12427,9492
N14,2128,2519,12306,10304
N15,8474,7552,13776,8018
N16,9475,8766,18100,12093
N17,12512,12319,19189,11786
N18,4994,5552,9926,6656
N19,4418,5033,10133,7820
N20,1383,1547,8120,7462
N21,1325,1491,9182,8419
N22,6706,6422,14823,9776
NE01,894,661,1865,818
NE02,1600,1420,5627,4121
NE03,2969,3719,17964,15572
NE04,5230,4499,9458,5021
NE05,3133,4289,14597,11208
NE06,4502,5160,12057,8366
NE07,817,1034,5307,4481
NE08,3234,3198,8353,4910
NE09,2225,2916,11280,8906
NE10,2347,3137,10106,7348
NE11,937,1279,5218,4034
NE12,1963,2648,11661,9908
NE13,608,741,6442,6051
NE15,2213,2878,10278,8085
NE16,1000,1408,8921,7719
NE17,258,337,1505,1230
NE18,25,27,390,377
NE19,40,71,880,848
NE20,317,342,5114,5049
NE21,939,1316,5735,4570
NE22,842,1047,6133,5338
NE23,1816,2611,13630,11686
NE24,2100,2930,12697,10509
NE25,1208,1539,11026,10241
NE26,868,951,6951,6515
NE27,676,957,4973,4399
NE28,3143,4225,13584,10555
NE29,2540,3152,10414,8368
NE30,897,1073,7929,7341
NE31,1319,1684,6671,5388
NE32,1658,2172,7470,5851
NE33,2259,2187,8060,5715
NE34,3218,4163,15790,12834
NE35,367,481,2106,1720
NE36,247,295,2495,2366
NE37,1386,1942,5956,4664
NE38,1828,2468,10979,9201
NE39,356,505,3080,2674
NE40,674,972,5394,4722
NE41,73,67,889,836
NE42,570,839,4356,3926
NE43,110,133,1800,1785
NE44,24,29,434,451
NE45,104,142,1443,1410
NE46,590,734,5662,5384
NE47,247,298,3136,2980
NE48,121,161,1758,1549
NE49,144,249,1591,1281
NE61,1120,1565,12761,11803
NE62,407,567,3243,2704
NE63,1678,2235,8817,6986
NE64,345,499,1891,1471
NE65,648,872,7939,7294
NE66,549,779,6672,6141
NE67,22,20,383,375
NE68,55,59,706,650
NE69,8,10,138,142
NE70,54,77,698,677
NE71,88,117,1167,1072
NG01,1098,979,2194,1181
NG02,3950,4372,18586,15477
NG03,3873,4964,14970,11505
NG04,2093,2764,14040,12066
NG05,5736,7690,27952,23607
NG06,2991,4108,10661,8279
NG07,5897,5454,10704,5721
NG08,4899,6687,19166,15045
NG09,3999,4636,25198,21632
NG10,2409,2976,16729,14450
NG11,2316,2992,12331,10169
NG12,1191,1487,13315,12616
NG13,646,779,8510,8182
NG14,583,700,7545,7132
NG15,1839,2535,15708,13705
NG16,2594,3471,23673,20539
NG17,3662,4604,25076,21120
NG18,2536,2789,14509,12199
NG19,2531,3224,18700,15714
NG20,1522,2075,8953,7058
NG21,926,1232,8591,7632
NG22,1093,1403,10575,9486
NG23,417,458,7628,7415
NG24,2374,3042,16556,13959
NG25,283,337,3378,3365
NG31,2422,3088,16274,13609
NG32,368,405,5614,5289
NG33,281,340,4115,3858
NG34,1546,1774,16113,14878
NN01,3819,3404,10543,6603
NN02,2903,3084,13946,11020
NN03,5130,6286,27398,22749
NN04,2412,2917,18551,16513
NN05,2464,2988,15186,12379
NN06,983,1074,14995,14442
NN07,789,948,12221,11625
NN08,3589,4150,18240,14640
NN09,1004,1247,10978,9877
NN10,1608,2022,15156,13527
NN11,1819,2334,15443,13252
NN12,750,885,10445,9742
NN13,633,787,8462,7919
NN14,1344,1638,18023,16832
NN15,1493,1891,14738,13372
NN16,2211,2591,10420,7826
NN17,2029,2406,10789,8677
NN18,2767,3436,12675,9956
NN29,353,414,4607,4330
NP01,85,92,210,141
NP02,32,28,120,68
NP02O,0,0,1,0
NP03,35,39,111,62
NP04,1828,2537,16036,14033
NP05,11,13,46,36
NP06,32,34,150,80
NP07,883,1094,10296,9743
NP08,135,189,2177,2107
NP09,75,42,166,71
NP10,923,1159,9372,8842
NP11,1759,2304,12762,10731
NP12,1463,1942,11589,10121
NP13,935,1377,6526,5044
NP15,130,156,3257,3133
NP16,871,1020,9147,8487
NP18,562,674,6597,6209
NP19,3986,4678,17456,13782
NP20,3595,4287,16715,13250
NP22,1152,1561,7136,5777
NP23,1569,2172,11019,8947
NP24,312,385,1479,1081
NP25,512,570,6194,5806
NP26,775,991,8999,8214
NP44,2468,3128,16772,14428
NR00,0,0,0,1
NR01,1954,2076,8755,6757
NR02,1739,1978,7940,6921
NR03,2627,2925,10565,8042
NR04,1193,1436,7315,6721
NR05,1997,2382,9010,7497
NR06,892,1096,9277,8332
NR07,1224,1471,12605,11409
NR08,638,767,8490,8182
NR09,470,556,7358,7124
NR10,613,767,9199,8792
NR11,535,654,7416,7057
NR12,607,677,8587,8018
NR13,709,827,11079,10687
NR14,730,741,10373,10061
NR15,433,532,6345,6208
NR16,307,381,5190,4996
NR17,554,632,6583,6055
NR18,640,791,7390,7094
NR19,801,974,7399,6605
NR20,544,633,7804,7356
NR21,528,629,6281,5768
NR22,35,46,331,309
NR23,122,136,1122,1023
NR24,118,136,1741,1657
NR25,305,322,3320,3140
NR26,296,371,2949,2794
NR27,518,550,4184,3828
NR28,642,727,6451,6011
NR29,615,784,8390,7701
NR30,2406,2557,9285,6812
NR31,2604,3120,17383,14638
NR32,2160,2352,13706,11813
NR33,1775,2039,14168,12587
NR34,702,864,8749,7996
NR35,369,431,4336,3975
NW01,7467,8129,16554,11100
NW02,11773,10434,26137,17001
NW03,4965,5897,19855,16764
NW04,3928,3935,13601,10303
NW05,3532,4015,8426,6728
NW06,8920,8998,22415,17156
NW07,2076,2500,10905,9599
NW08,4112,4922,12571,9599
NW09,9967,9905,27817,18520
NW10,18031,16462,31412,20340
NW11,3733,3544,14139,12254
OL01,2111,2490,6115,4436
OL01O,1,0,0,0
OL02,2041,2548,14695,12824
OL03,545,525,6108,5899
OL04,2948,3610,14551,11402
OL05,545,683,4024,3517
OL06,2208,2641,9353,7006
OL07,1190,1575,5439,4064
OL08,3641,4513,11760,7844
OL09,3094,3631,12990,9699
OL10,1912,2367,9352,7761
OL11,3203,3983,14873,11803
OL12,2787,3434,15519,13055
OL13,842,1092,5669,4855
OL14,823,1109,5291,4776
OL15,620,739,5526,4971
OL16,2692,3202,12270,9714
OX01,1759,1424,6155,4866
OX02,3118,3334,13520,12363
OX03,3558,4317,13669,11358
OX04,6194,6351,18062,13692
OX05,1453,1483,9263,8235
OX06,33,26,69,60
OX07,863,1090,9568,9208
OX08,47,46,154,124
OX09,570,642,5990,5747
OX10,1138,1334,10429,9812
OX11,1654,2193,15266,13549
OX12,1065,1308,10689,9788
OX13,490,629,5983,5677
OX14,2143,2531,16990,15208
OX15,609,670,8472,8297
OX16,3024,3773,16995,13485
OX17,476,595,7493,7256
OX18,910,1215,9820,9040
OX20,196,239,1942,1975
OX25,354,508,4226,4096
OX26,1849,2328,12957,11280
OX27,229,303,2902,2872
OX28,1307,1554,9929,9085
OX29,856,975,9902,9516
OX33,285,314,3146,2989
OX39,179,227,3265,3173
OX44,229,348,3369,3224
OX49,133,152,1720,1748
PA01,1576,1658,6999,5594
PA02,2279,2936,13208,11582
PA03,2011,2454,6892,5394
PA04,1384,1779,8514,7415
PA05,1402,1819,7018,5894
PA06,134,204,2699,2664
PA07,220,268,3197,3085
PA08,754,935,5303,4841
PA09,59,83,736,693
PA10,139,200,1456,1400
PA11,215,256,2272,2192
PA12,141,189,1262,1234
PA13,141,153,1807,1839
PA14,1238,1541,4801,4029
PA15,1389,1626,4460,3559
PA16,1971,2222,9048,8071
PA17,84,82,888,837
PA18,76,102,1027,1002
PA19,540,629,4107,3738
PA20,325,427,2094,1715
PA21,43,31,334,292
PA22,16,4,135,138
PA23,726,888,4330,4007
PA24,20,20,218,168
PA25,2,4,26,24
PA26,9,6,57,42
PA27,18,33,299,294
PA28,395,445,2538,2200
PA29,96,93,888,788
PA30,64,69,495,495
PA31,200,247,2043,1831
PA32,44,61,483,441
PA33,37,37,306,263
PA34,634,716,3753,3298
PA35,47,72,578,546
PA37,129,148,1197,1130
PA38,30,31,369,357
PA41,10,11,60,56
PA42,48,73,416,354
PA43,49,61,297,274
PA44,6,11,123,113
PA45,11,7,61,46
PA46,7,11,66,67
PA47,6,8,68,63
PA48,21,15,114,129
PA49,7,11,75,67
PA60,8,14,90,72
PA61,5,13,57,55
PA64,3,3,44,48
PA65,10,10,92,89
PA66,6,10,72,70
PA67,18,16,97,91
PA68,0,0,5,3
PA69,1,2,10,8
PA71,1,0,25,15
PA72,16,16,194,188
PA73,3,2,22,22
PA74,0,3,16,12
PA75,68,78,574,560
PA76,6,5,62,69
PA77,20,31,246,255
PA78,9,12,73,72
PA80,14,13,121,97
PA82,5,5,12,11
PA86,21,33,64,65
PA87,27,36,40,32
PA88,4,2,7,4
PE01,5139,5227,16140,10179
PE02,3066,3849,17459,14330
PE03,2379,3121,10417,7681
PE04,1542,2034,10411,8898
PE05,36,36,640,613
PE06,1152,1518,15236,14338
PE07,1771,2309,17713,15963
PE08,586,718,7182,6755
PE09,1244,1547,12423,11924
PE10,791,1025,9364,8782
PE11,1943,2223,17001,14134
PE12,1312,1603,16290,14397
PE13,1974,2155,13109,10913
PE14,688,797,8991,8272
PE15,1165,1470,11273,10049
PE16,372,497,4266,3699
PE17,59,43,140,90
PE18,50,77,105,82
