DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
CA17,122,169,2017,1792
CA18,12,4,117,119
CA19,27,29,456,425
CA20,78,90,1362,1219
CA21,22,21,323,282
CA22,443,570,3160,2623
CA23,54,64,567,482
CA24,32,56,402,325
CA25,295,411,1927,1617
CA26,147,204,1314,1154
CA27,43,63,656,569
CA28,1415,1742,9750,8000
CB01,3856,4080,16369,13961
CB02,1585,1703,7559,6693
CB03,1162,1328,6488,5862
CB04,3793,4093,16132,13245
CB05,1099,1221,4937,4074
CB06,1335,1649,14698,13430
CB07,1106,1224,10368,9469
CB08,1542,1645,12443,11313
CB09,1554,2103,11490,9864
CB10,547,660,5783,5456
CB11,659,768,7326,6946
CB21,437,478,5383,5014
CB22,736,748,8307,7685
CB23,1075,1263,11555,10938
CB24,1052,1146,11696,10811
CB25,495,513,6149,5714
CF01,87,68,150,52
CF02,48,43,132,45
CF03,2719,3511,13796,12608
CF04,46,37,151,111
CF05,4005,4886,21283,19409
CF06,84,74,134,63
CF07,13,8,65,48
CF08,53,44,150,106
CF09,0,0,1,0
CF10,1472,1274,4144,2469
CF11,3476,3369,11395,8109
CF14,3220,3615,26411,24987
CF15,561,671,7070,7000
CF23,2390,2870,15897,15011
CF24,5375,4705,12092,8336
CF31,1962,2389,16035,14654
CF32,1431,1804,10882,9362
CF33,771,1005,5004,4318
CF34,1033,1374,6723,5385
CF35,485,595,7143,6668
CF36,534,657,6214,5801
CF37,2270,2509,12332,9927
CF38,745,977,8776,8238
CF39,1381,1961,9717,7974
CF40,1068,1473,6577,5200
CF41,519,712,3559,2759
CF42,713,938,4307,3442
CF43,698,1000,3719,2745
CF44,1987,2754,13626,11176
CF45,1184,1526,6144,4785
CF46,610,870,5181,4561
CF47,1326,1869,6773,5182
CF48,1413,1872,9062,7462
CF61,491,572,3695,3490
CF62,2018,2419,14849,14177
CF63,1484,1705,6655,5918
CF64,1566,1723,13641,13232
CF71,210,222,3951,3902
CF72,840,1066,10041,9655
CF81,975,1325,5217,3899
CF82,947,1199,7038,6086
CF83,2719,3439,18150,16105
CH01,2216,2460,9521,7591
CH02,1629,1990,12727,11331
CH03,1224,1359,14147,13422
CH04,1588,2007,12484,11518
CH05,2172,2643,15150,12911
CH06,913,1211,5849,4984
CH07,1735,2258,19202,18002
