DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
BH23,1935,1975,3910,21172,20710,41882
BH24,733,711,1444,10034,9821,19855
BH25,853,956,1809,9893,9717,19610
BH31,294,307,601,5400,5446,10846
BL00,661,783,1444,6553,6324,12877
BL01,4374,4984,9358,21623,16853,38476
BL02,2854,3404,6258,15425,13152,28577
BL03,4994,5892,10886,20834,14711,35545
BL04,2326,2999,5325,10854,8379,19233
BL05,1110,1248,2358,10221,9374,19595
BL06,1330,1545,2875,11539,10542,22081
BL07,404,492,896,6245,6018,12263
BL08,1487,1765,3252,13632,12489,26121
BL09,3399,4114,7513,16669,13341,30010
BN01,7003,6764,13767,26272,21888,48160
BN02,7877,8330,16207,27751,22317,50068
BN03,6189,6323,12512,28117,24083,52200
BN04,3,2,5,15,10,25
BN05,205,255,460,3248,3255,6503
BN06,663,700,1363,7087,7163,14250
BN07,1265,1498,2763,6967,6809,13776
BN08,525,585,1110,6484,6441,12925
BN09,849,1090,1939,4586,3923,8509
BN10,1025,1217,2242,7117,6267,13384
BN11,2155,2347,4502,11115,9561,20676
BN12,839,983,1822,8373,8155,16528
BN13,1251,1380,2631,10891,10419,21310
BN14,1522,1655,3177,11370,10751,22121
BN15,1357,1568,2925,10152,9062,19214
BN16,907,1011,1918,11255,11333,22588
BN17,1659,2030,3689,11148,9852,21000
BN18,549,513,1062,5384,5182,10566
BN19,0,0,0,1,0,1
BN20,848,1054,1902,7846,7697,15543
BN21,1710,1816,3526,8433,7088,15521
BN22,2060,2533,4593,10911,9804,20715
BN23,1341,1730,3071,10254,9209,19463
BN24,294,338,632,4025,3929,7954
BN25,971,1223,2194,9038,8541,17579
BN26,453,525,978,4830,4618,9448
BN27,1145,1376,2521,11485,11054,22539
BN32,1,0,1,0,0,0
BN40,0,0,0,1,0,1
BN41,1530,1704,3234,6789,6338,13127
BN42,570,657,1227,3685,3295,6980
BN43,1240,1291,2531,8540,8027,16567
BN44,324,381,705,4056,4070,8126
BN45,26,19,45,262,255,517
BR00,0,0,0,1,0,1
BR01,4500,5366,9866,20161,18082,38243
BR02,2631,2877,5508,17754,16692,34446
BR03,2759,3267,6026,18351,17040,35391
BR04,985,882,1867,7595,7292,14887
BR05,2973,3836,6809,16017,14779,30796
BR06,2163,2478,4641,18103,17313,35416
BR07,721,882,1603,7199,6926,14125
BR08,1106,1417,2523,8485,7670,16155
BS00,0,0,0,1,0,1
BS01,1136,995,2131,3715,2210,5925
BS02,1873,1942,3815,4757,3176,7933
BS03,2533,2824,5357,12945,10849,23794
BS04,3264,4136,7400,16770,13864,30634
BS05,5164,5510,10674,17659,13178,30837
BS06,2112,2237,4349,10719,9617,20336
BS07,2851,3020,5871,13785,11319,25104
BS08,1503,1518,3021,8469,7395,15864
BS09,1309,1352,2661,12155,11442,23597
BS10,1928,2580,4508,9617,7985,17602
BS11,1316,1567,2883,6095,4840,10935
BS12,18,14,32,105,52,157
BS13,2080,2811,4891,9502,7670,17172
BS14,1362,1591,2953,10702,9634,20336
BS15,2072,2436,4508,17904,15839,33743
BS16,3954,4328,8282,29130,25993,55123
BS17,16,17,33,88,62,150
