DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
KY12,1889,2221,4110,14294,12895,27189
KY13,367,410,777,4697,4665,9362
KY14,218,294,512,2651,2441,5092
KY15,768,1009,1777,8156,7652,15808
KY16,1176,1357,2533,6336,5832,12168
L01,667,576,1243,1513,839,2352
L02,94,58,152,265,122,387
L03,1151,1079,2230,3461,2174,5635
L04,4080,4961,9041,9849,6771,16620
L05,1502,1854,3356,3247,1985,5232
L06,2961,2936,5897,5297,3018,8315
L07,2609,2379,4988,3876,2030,5906
L08,4487,4568,9055,7286,4473,11759
L09,2398,3095,5493,9235,7073,16308
L10,901,1288,2189,5086,4222,9308
L11,2529,3474,6003,7332,5521,12853
L12,1656,2181,3837,10818,9685,20503
L13,2801,3327,6128,8252,5945,14197
L14,2170,3066,5236,7767,6283,14050
L15,2559,2700,5259,7225,5482,12707
L16,691,839,1530,5385,4950,10335
L17,1644,1731,3375,7179,6115,13294
L18,1297,1578,2875,8959,8241,17200
L19,1546,1843,3389,7768,6722,14490
L20,3268,3825,7093,8450,5877,14327
L21,1993,2609,4602,6908,5334,12242
L22,975,1076,2051,4506,3769,8275
L23,1604,1927,3531,11125,10260,21385
L24,1350,1870,3220,4696,3458,8154
L25,2029,2416,4445,11770,10178,21948
L26,1062,1321,2383,5211,4602,9813
L27,544,802,1346,1782,1332,3114
L28,647,851,1498,1698,1082,2780
L29,23,23,46,210,201,411
L30,1515,2024,3539,5747,4513,10260
L31,1254,1431,2685,11505,10529,22034
L32,1769,2331,4100,5891,4412,10303
L33,1575,2124,3699,5084,3908,8992
L34,655,759,1414,4650,3887,8537
L35,1699,2394,4093,10598,8803,19401
L36,3153,4287,7440,12499,10254,22753
L37,822,950,1772,9193,8992,18185
L38,86,90,176,1056,1062,2118
L39,1055,1163,2218,10064,9556,19620
L40,578,608,1186,7665,7175,14840
L41,113,129,242,105,51,156
L42,59,44,103,73,33,106
L43,87,128,215,149,122,271
L44,47,30,77,68,24,92
L45,21,24,45,59,37,96
L46,18,26,44,75,35,110
L47,15,13,28,38,29,67
L48,12,14,26,50,38,88
L49,24,33,57,61,49,110
L52,0,1,1,0,0,0
L60,6,17,23,94,88,182
L61,13,12,25,40,50,90
L62,29,30,59,66,48,114
L63,19,19,38,80,47,127
L64,28,24,52,109,99,208
L65,24,24,48,57,29,86
L66,25,29,54,120,98,218
L67,0,1,1,0,0,0
L69,18,5,23,29,6,35
L71,0,1,1,0,0,0
LA00,0,0,0,0,1,1
LA01,3417,3969,7386,15091,12750,27841
LA02,628,739,1367,8543,8235,16778
LA03,1441,1652,3093,9047,7850,16897
LA04,1477,1744,3221,8714,7370,16084
LA05,505,617,1122,6432,6164,12596
LA06,310,382,692,5548,5506,11054
LA07,133,156,289,2057,1983,4040
LA08,188,219,407,3862,3716,7578
LA09,1176,1452,2628,11561,10632,22193
LA10,109,102,211,1405,1344,2749
LA11,245,289,534,4058,3960,8018
LA12,670,818,1488,7926,7255,15181
LA13,1030,1253,2283,6800,5951,12751
LA14,2561,3001,5562,11764,9404,21168
LA15,333,445,778,2778,2439,5217
LA16,100,132,232,1361,1175,2536
LA17,19,34,53,503,471,974
LA18,351,457,808,2910,2394,5304
LA19,18,39,57,424,395,819
LA20,16,37,53,532,497,1029
LA21,31,42,73,406,372,778
LA22,230,238,468,1834,1683,3517
LA23,435,437,872,3323,2965,6288
LD00,0,0,0,1,0,1
LD01,352,441,793,4483,4068,8551
LD02,150,170,320,2194,2051,4245
LD03,758,802,1560,7553,6972,14525
LD04,19,22,41,312,289,601
LD05,30,44,74,446,397,843
LD06,76,116,192,1084,972,2056
LD07,116,171,287,1875,1665,3540
LD08,98,119,217,1818,1729,3547
LE01,1825,1659,3484,2868,1417,4285
LE02,9407,10387,19794,35670,28259,63929
LE03,8157,9389,17546,33121,24972,58093
LE04,9517,11502,21019,32763,24196,56959
LE05,8923,10165,19088,28618,20906,49524
LE06,324,425,749,4843,4449,9292
LE07,1316,1710,3026,19414,18116,37530
LE08,994,1324,2318,15051,14487,29538
LE09,1811,2272,4083,22766,20962,43728
LE10,1770,2120,3890,19884,17795,37679
LE11,3931,4007,7938,19528,15085,34613
LE12,2037,2503,4540,25825,24307,50132
LE13,1081,1394,2475,9968,8740,18708
LE14,402,508,910,7455,7113,14568
LE15,1002,1314,2316,13051,12448,25499
LE16,1237,1399,2636,14158,13497,27655
LE17,567,673,1240,9111,8450,17561
LE18,1397,1866,3263,11843,10314,22157
LE19,452,627,1079,5955,5610,11565
LE62,0,1,1,0,0,0
LE65,529,636,1165,6289,5785,12074
LE67,2253,2873,5126,23660,20922,44582
LL01,2,1,3,8,5,13
LL02,0,0,0,3,0,3
LL10,0,0,0,1,0,1
LL11,1856,2359,4215,13413,11415,24828
LL12,1209,1380,2589,10519,9581,20100
LL13,2275,2642,4917,10996,8961,19957
LL14,1703,2456,4159,11070,9135,20205
LL15,381,438,819,4007,3786,7793
LL16,649,821,1470,5619,5178,10797
LL17,176,222,398,2172,2061,4233
LL18,2588,3208,5796,13951,11954,25905
LL19,959,1243,2202,7204,6415,13619
LL20,358,357,715,3167,2773,5940
LL21,197,255,452,2611,2338,4949
LL22,666,876,1542,6995,6274,13269
LL23,128,133,261,1580,1352,2932
LL24,52,77,129,870,717,1587
LL25,21,14,35,190,181,371
LL26,182,240,422,1622,1410,3032
LL27,33,50,83,319,280,599
LL28,491,620,1111,5084,4873,9957
LL29,1208,1425,2633,6790,6018,12808
LL30,1110,1349,2459,7318,6540,13858
LL31,387,488,875,3629,3449,7078
LL32,286,371,657,2461,2305,4766
LL33,194,227,421,1369,1263,2632
LL34,191,287,478,1545,1410,2955
LL35,20,27,47,295,248,543
LL36,147,204,351,1664,1460,3124
LL37,14,20,34,245,190,435
LL38,15,40,55,282,217,499
LL39,8,15,23,87,73,160
LL40,161,185,346,1579,1397,2976
LL41,306,423,729,2123,1714,3837
LL42,137,171,308,776,639,1415
LL43,11,16,27,212,188,400
LL44,24,37,61,377,370,747
LL45,29,16,45,241,228,469
LL46,51,57,108,664,614,1278
LL47,14,31,45,234,198,432
LL48,100,123,223,889,808,1697
LL49,221,217,438,1500,1271,2771
LL51,27,27,54,341,290,631
LL52,78,95,173,1004,957,1961
LL53,487,568,1055,6106,5609,11715
LL54,441,499,940,4133,3737,7870
LL55,1011,1212,2223,7299,6560,13859
LL56,101,90,191,833,785,1618
LL57,1795,1820,3615,7577,6407,13984
LL58,141,189,330,1404,1260,2664
LL59,256,251,507,2065,1975,4040
LL60,100,109,209,1192,1120,2312
LL61,212,223,435,2328,2210,4538
LL62,63,46,109,718,662,1380
LL63,48,58,106,516,448,964
LL64,34,29,63,308,275,583
LL65,1261,1492,2753,8232,7151,15383
LL66,7,9,16,111,102,213
LL67,51,78,129,497,453,950
LL68,257,319,576,2272,2002,4274
LL69,24,34,58,288,230,518
LL70,9,12,21,113,114,227
LL71,69,70,139,702,646,1348
LL72,34,46,80,266,239,505
LL73,1,2,3,91,90,181
LL74,73,66,139,973,940,1913
LL75,54,51,105,542,526,1068
LL76,11,11,22,124,115,239
LL77,270,376,646,2520,2369,4889
LL78,13,16,29,202,208,410
LN01,1256,1435,2691,9783,8513,18296
LN02,2195,2631,4826,13363,11571,24934
LN03,286,342,628,3907,3593,7500
LN04,1255,1606,2861,15360,14026,29386
LN05,1938,2123,4061,11396,9413,20809
LN06,2554,3166,5720,21648,19539,41187
LN07,191,244,435,2612,2401,5013
LN08,542,689,1231,7085,6459,13544
LN09,329,364,693,3885,3535,7420
LN10,140,166,306,2493,2342,4835
LN11,1058,1298,2356,10981,10262,21243
LN12,570,700,1270,4949,3977,8926
LN13,323,358,681,3224,2946,6170
LS00,0,1,1,0,0,0
LS01,299,310,609,868,511,1379
LS02,973,811,1784,1402,679,2081
LS03,346,334,680,553,307,860
LS04,833,830,1663,2257,1603,3860
LS05,610,763,1373,2389,1866,4255
LS06,3366,3251,6617,8724,6497,15221
LS07,3097,3623,6720,8587,6813,15400
LS08,4627,5065,9692,15091,11810,26901
LS09,4552,5272,9824,9358,5217,14575
LS10,2974,4021,6995,10478,7508,17986
LS11,3978,4433,8411,9267,5449,14716
LS12,3274,3954,7228,12301,9004,21305
LS13,2574,3459,6033,10928,8740,19668
LS14,2691,3654,6345,10607,8434,19041
LS15,1798,2243,4041,12691,10978,23669
LS16,1731,2093,3824,13125,12295,25420
LS17,1741,2383,4124,17046,15906,32952
LS18,1239,1068,2307,8234,7146,15380
LS19,801,1015,1816,7430,6904,14334
LS20,498,551,1049,4824,4631,9455
LS21,698,863,1561,6973,6585,13558
LS22,471,570,1041,6511,6385,12896
LS23,276,303,579,3469,3460,6929
LS24,359,464,823,4768,4469,9237
LS25,1523,2091,3614,15714,14229,29943
LS26,1315,1818,3133,11069,9883,20952
LS27,1845,2515,4360,12979,10875,23854
LS28,1745,2385,4130,14329,12994,27323
LS29,1071,1163,2234,12706,12564,25270
LS42,0,0,0,0,1,1
LS70,0,0,0,1,0,1
LU01,6262,5588,11850,15126,9396,24522
LU02,4182,4928,9110,21976,17500,39476
LU03,5093,6373,11466,22006,16288,38294
LU04,5185,6420,11605,18029,12209,30238
LU05,2131,2737,4868,15142,12509,27651
LU06,1289,1650,2939,13667,12020,25687
LU07,2047,2478,4525,23306,21218,44524
M00,18,7,25,25,13,38
M01,1044,750,1794,2556,1265,3821
M02,15,12,27,53,30,83
M03,1181,995,2176,3836,2231,6067
M04,1078,909,1987,3696,2337,6033
M04O,0,0,0,1,0,1
M05,1891,1947,3838,4902,3168,8070
M06,3405,3354,6759,9779,6884,16663
M07,3470,3007,6477,8433,5628,14061
M08,4850,4439,9289,10211,5795,16006
M09,4172,5111,9283,11390,8323,19713
M10,83,68,151,67,21,88
M11,2628,3227,5855,5805,3889,9694
M12,3115,2671,5786,4905,2646,7551
M13,3893,3152,7045,5990,3126,9116
M14,6238,5386,11624,10755,6546,17301
M15,2664,2105,4769,5503,3042,8545
M16,3819,4127,7946,11354,8396,19750
M17,3,5,8,14,4,18
M18,2739,3146,5885,6233,4148,10381
M19,3938,4002,7940,11388,8388,19776
M20,3366,3688,7054,15832,13787,29619
M21,2178,2435,4613,10013,8861,18874
M22,3794,4641,8435,12342,9657,21999
M23,2516,3122,5638,9496,7883,17379
M24,3335,4038,7373,15820,12956,28776
M25,1922,2163,4085,11051,9635,20686
M26,2066,2583,4649,12205,10480,22685
M27,2379,2898,5277,13909,11911,25820
M28,1862,2167,4029,15374,14092,29466
M29,1006,1193,2199,8786,7982,16768
M30,2802,3237,6039,12140,9418,21558
M31,717,879,1596,2532,2158,4690
M32,2104,2497,4601,9544,8251,17795
M33,2925,3323,6248,22614,20792,43406
M34,2588,3164,5752,16526,14116,30642
M35,1293,1542,2835,6970,5837,12807
M38,1160,1557,2717,3738,2801,6539
M39,0,1,1,1,0,1
M40,4399,5233,9632,12116,8629,20745
M41,1867,2178,4045,15343,14279,29622
M43,1425,2012,3437,7880,6349,14229
M44,1089,1417,2506,6831,5773,12604
M45,1291,1629,2920,7977,7154,15131
M46,1138,1400,2538,7658,6340,13998
M47,1,0,1,0,0,0
M50,316,309,625,1472,892,2364
M51,0,0,0,1,0,1
M52,0,0,0,1,0,1
M54,0,0,0,1,0,1
M60,38,17,55,62,15,77
M61,0,0,0,1,1,2
M70,1,0,1,4,1,5
M73,0,0,0,1,0,1
M74,0,0,0,2,0,2
M87,0,1,1,0,0,0
M90,1,0,1,1,0,1
ME01,1791,2249,4040,11239,9703,20942
ME02,2210,2860,5070,15189,13063,28252
ME03,1078,1314,2392,11587,10579,22166
ME04,2861,3106,5967,10100,7332,17432
ME05,2462,3300,5762,19522,17034,36556
ME06,487,647,1134,4057,3706,7763
ME07,3862,4786,8648,17101,13660,30761
ME08,2150,2639,4789,18923,17007,35930
ME09,791,911,1702,9150,8449,17599
ME10,2672,3206,5878,17651,15226,32877
ME11,292,353,645,1216,976,2192
ME12,2152,2805,4957,14088,11655,25743
ME13,1336,1612,2948,10255,9449,19704
ME14,1496,1677,3173,12473,10736,23209
ME15,2605,3157,5762,18680,15898,34578
ME16,1532,1900,3432,12180,10508,22688
ME17,760,881,1641,10535,9700,20235
ME18,221,248,469,2961,2797,5758
ME19,724,894,1618,9431,9262,18693
ME20,804,945,1749,8190,7697,15887
ME21,0,0,0,1,0,1
ME22,0,0,0,1,0,1
ME24,0,1,1,3,5,8
ME30,0,0,0,1,0,1
ME37,0,0,0,0,1,1
ME38,0,0,0,1,0,1
ME39,0,0,0,1,0,1
ME50,0,0,0,1,0,1
MK01,69,63,132,306,168,474
MK02,1385,1817,3202,5134,3808,8942
MK03,1409,1821,3230,9309,8262,17571
MK04,1130,1455,2585,8230,7737,15967
MK05,913,1034,1947,5695,5255,10950
MK06,3539,4152,7691,9191,6318,15509
MK07,768,946,1714,5715,5159,10874
MK08,713,949,1662,5066,4461,9527
MK09,499,451,950,1356,663,2019
MK10,966,1256,2222,7060,6472,13532
MK11,542,698,1240,3424,3085,6509
MK12,1150,1387,2537,4870,3715,8585
MK13,1566,1795,3361,6821,5442,12263
MK14,1776,2148,3924,7756,5990,13746
MK15,405,446,851,2833,2665,5498
MK16,743,877,1620,7380,6896,14276
MK17,514,569,1083,7886,7706,15592
MK18,1503,1563,3066,12991,12541,25532
MK19,369,430,799,4923,4670,9593
MK20,0,1,1,0,0,0
MK34,1,0,1,1,0,1
MK40,2927,2903,5830,12109,9098,21207
MK41,2288,2663,4951,15642,14207,29849
MK42,3437,4645,8082,17679,14221,31900
MK43,1379,1415,2794,15448,14906,30354
MK44,476,479,955,6875,6723,13598
MK45,1470,1653,3123,19100,18065,37165
MK46,253,323,576,3699,3554,7253
ML01,3240,4212,7452,18836,15621,34457
ML02,2276,2851,5127,12603,10405,23008
ML03,2972,3800,6772,17784,14954,32738
ML04,1498,1987,3485,6864,5569,12433
ML05,2949,3770,6719,14541,11840,26381
ML06,2998,3899,6897,18451,15611,34062
ML07,749,1023,1772,5116,4251,9367
ML08,683,987,1670,7253,6628,13881
ML09,1214,1658,2872,8193,7056,15249
ML10,401,474,875,4396,4218,8614
ML11,1330,1883,3213,12726,11279,24005
ML12,220,392,612,3632,3327,6959
N00,1,0,1,1,0,1
N01,11037,12121,23158,26150,18888,45038
N01C,79,121,200,262,183,445
N01H,0,1,1,0,1,1
N01N,0,1,1,0,0,0
N01P,1,0,1,0,0,0
N01W,0,0,0,0,1,1
N02,2292,2476,4768,9225,8229,17454
N02O,0,0,0,0,1,1
N03,2495,2755,5250,11718,10061,21779
N04,7611,7283,14894,15921,11074,26995
N05,2547,2866,5413,7800,6288,14088
N06,1513,1805,3318,7209,6444,13653
N07,6225,6628,12853,13475,9325,22800
N08,4910,4883,9793,13475,10738,24213
N09,7100,8290,15390,15808,11194,27002
N10,2587,2967,5554,9481,8382,17863
N11,3136,3418,6554,10921,8333,19254
N12,2813,3135,5948,12593,10541,23134
N13,3421,3454,6875,12427,9492,21919
N14,2128,2519,4647,12306,10304,22610
N15,8474,7552,16026,13776,8018,21794
N16,9475,8766,18241,18100,12093,30193
N17,12512,12319,24831,19189,11786,30975
N18,4994,5552,10546,9926,6656,16582
N19,4418,5033,9451,10133,7820,17953
N20,1383,1547,2930,8120,7462,15582
N21,1325,1491,2816,9182,8419,17601
N22,6706,6422,13128,14823,9776,24599
NE01,894,661,1555,1865,818,2683
NE02,1600,1420,3020,5627,4121,9748
NE02O,0,0,0,1,0,1
NE03,2969,3719,6688,17964,15572,33536
NE04,5230,4499,9729,9458,5021,14479
NE05,3133,4289,7422,14597,11208,25805
NE06,4502,5160,9662,12057,8366,20423
NE07,817,1034,1851,5307,4481,9788
NE08,3234,3198,6432,8353,4910,13263
NE09,2225,2916,5141,11280,8906,20186
NE10,2347,3137,5484,10106,7348,17454
NE11,937,1279,2216,5218,4034,9252
NE12,1963,2648,4611,11661,9908,21569
NE13,608,741,1349,6442,6051,12493
NE15,2213,2878,5091,10278,8085,18363
NE16,1000,1408,2408,8921,7719,16640
NE17,258,337,595,1505,1230,2735
NE18,25,27,52,390,377,767
NE19,40,71,111,880,848,1728
NE20,317,342,659,5114,5049,10163
NE21,939,1316,2255,5735,4570,10305
NE22,842,1047,1889,6133,5338,11471
NE23,1816,2611,4427,13630,11686,25316
NE24,2100,2930,5030,12697,10509,23206
NE25,1208,1539,2747,11026,10241,21267
NE26,868,951,1819,6951,6515,13466
NE27,676,957,1633,4973,4399,9372
NE28,3143,4225,7368,13584,10555,24139
NE29,2540,3152,5692,10414,8368,18782
NE30,897,1073,1970,7929,7341,15270
NE31,1319,1684,3003,6671,5388,12059
NE32,1658,2172,3830,7470,5851,13321
NE33,2259,2187,4446,8060,5715,13775
NE34,3218,4163,7381,15790,12834,28624
NE35,367,481,848,2106,1720,3826
NE36,247,295,542,2495,2366,4861
NE37,1386,1942,3328,5956,4664,10620
NE38,1828,2468,4296,10979,9201,20180
NE39,356,505,861,3080,2674,5754
NE40,674,972,1646,5394,4722,10116
NE41,73,67,140,889,836,1725
NE42,570,839,1409,4356,3926,8282
NE43,110,133,243,1800,1785,3585
NE44,24,29,53,434,451,885
NE45,104,142,246,1443,1410,2853
NE46,590,734,1324,5662,5384,11046
NE47,247,298,545,3136,2980,6116
NE48,121,161,282,1758,1549,3307
NE49,144,249,393,1591,1281,2872
NE55,0,0,0,1,0,1
NE61,1120,1565,2685,12761,11803,24564
NE62,407,567,974,3243,2704,5947
NE63,1678,2235,3913,8817,6986,15803
NE64,345,499,844,1891,1471,3362
NE65,648,872,1520,7939,7294,15233
NE66,549,779,1328,6672,6141,12813
NE67,22,20,42,383,375,758
NE68,55,59,114,706,650,1356
NE69,8,10,18,138,142,280
NE70,54,77,131,698,677,1375
NE71,88,117,205,1167,1072,2239
NE99,4,0,4,5,0,5
NG01,1098,979,2077,2194,1181,3375
NG01O,0,0,0,0,1,1
NG02,3950,4372,8322,18586,15477,34063
NG03,3873,4964,8837,14970,11505,26475
NG04,2093,2764,4857,14040,12066,26106
NG05,5736,7690,13426,27952,23607,51559
NG06,2991,4108,7099,10661,8279,18940
NG07,5897,5454,11351,10704,5721,16425
NG08,4899,6687,11586,19166,15045,34211
NG09,3999,4636,8635,25198,21632,46830
NG10,2409,2976,5385,16729,14450,31179
NG11,2316,2992,5308,12331,10169,22500
NG12,1191,1487,2678,13315,12616,25931
NG13,646,779,1425,8510,8182,16692
NG14,583,700,1283,7545,7132,14677
NG15,1839,2535,4374,15708,13705,29413
NG16,2594,3471,6065,23673,20539,44212
NG17,3662,4604,8266,25076,21120,46196
NG18,2536,2789,5325,14509,12199,26708
NG19,2531,3224,5755,18700,15714,34414
NG20,1522,2075,3597,8953,7058,16011
NG21,926,1232,2158,8591,7632,16223
NG22,1093,1403,2496,10575,9486,20061
NG23,417,458,875,7628,7415,15043
NG24,2374,3042,5416,16556,13959,30515
NG25,283,337,620,3378,3365,6743
NG31,2422,3088,5510,16274,13609,29883
NG32,368,405,773,5614,5289,10903
NG33,281,340,621,4115,3858,7973
NG34,1546,1774,3320,16113,14878,30991
NG36,0,0,0,1,0,1
NG54,0,1,1,0,0,0
NN01,3819,3404,7223,10543,6603,17146
NN02,2903,3084,5987,13946,11020,24966
NN03,5130,6286,11416,27398,22749,50147
NN04,2412,2917,5329,18551,16513,35064
NN05,2464,2988,5452,15186,12379,27565
NN06,983,1074,2057,14995,14442,29437
NN07,789,948,1737,12221,11625,23846
NN08,3589,4150,7739,18240,14640,32880
NN09,1004,1247,2251,10978,9877,20855
NN10,1608,2022,3630,15156,13527,28683
NN11,1819,2334,4153,15443,13252,28695
NN12,750,885,1635,10445,9742,20187
NN13,633,787,1420,8462,7919,16381
NN14,1344,1638,2982,18023,16832,34855
NN15,1493,1891,3384,14738,13372,28110
NN16,2211,2591,4802,10420,7826,18246
NN17,2029,2406,4435,10789,8677,19466
NN18,2767,3436,6203,12675,9956,22631
NN28,1,0,1,0,0,0
NN29,353,414,767,4607,4330,8937
NO03,0,1,1,0,0,0
NP00,0,0,0,0,1,1
NP01,85,92,177,210,141,351
NP01O,0,0,0,0,1,1
NP02,32,28,60,120,68,188
NP02O,0,0,0,1,0,1
NP03,35,39,74,111,62,173
NP04,1828,2537,4365,16036,14033,30069
NP05,11,13,24,46,36,82
NP06,32,34,66,150,80,230
NP07,883,1094,1977,10296,9743,20039
NP08,135,189,324,2177,2107,4284
NP09,75,42,117,166,71,237
NP10,923,1159,2082,9372,8842,18214
NP11,1759,2304,4063,12762,10731,23493
NP12,1463,1942,3405,11589,10121,21710
NP13,935,1377,2312,6526,5044,11570
NP15,130,156,286,3257,3133,6390
NP16,871,1020,1891,9147,8487,17634
NP18,562,674,1236,6597,6209,12806
NP19,3986,4678,8664,17456,13782,31238
NP20,3595,4287,7882,16715,13250,29965
NP21,0,0,0,1,0,1
NP22,1152,1561,2713,7136,5777,12913
NP23,1569,2172,3741,11019,8947,19966
NP24,312,385,697,1479,1081,2560
NP25,512,570,1082,6194,5806,12000
NP26,775,991,1766,8999,8214,17213
NP42,0,0,0,1,0,1
NP44,2468,3128,5596,16772,14428,31200
NR00,0,0,0,0,1,1
NR01,1954,2076,4030,8755,6757,15512
NR02,1739,1978,3717,7940,6921,14861
NR03,2627,2925,5552,10565,8042,18607
NR04,1193,1436,2629,7315,6721,14036
NR05,1997,2382,4379,9010,7497,16507
NR06,892,1096,1988,9277,8332,17609
NR07,1224,1471,2695,12605,11409,24014
NR08,638,767,1405,8490,8182,16672
NR09,470,556,1026,7358,7124,14482
NR10,613,767,1380,9199,8792,17991
NR11,535,654,1189,7416,7057,14473
NR12,607,677,1284,8587,8018,16605
NR13,709,827,1536,11079,10687,21766
NR14,730,741,1471,10373,10061,20434
NR15,433,532,965,6345,6208,12553
NR16,307,381,688,5190,4996,10186
NR17,554,632,1186,6583,6055,12638
NR18,640,791,1431,7390,7094,14484
NR19,801,974,1775,7399,6605,14004
NR20,544,633,1177,7804,7356,15160
NR21,528,629,1157,6281,5768,12049
NR22,35,46,81,331,309,640
NR23,122,136,258,1122,1023,2145
NR24,118,136,254,1741,1657,3398
NR25,305,322,627,3320,3140,6460
NR26,296,371,667,2949,2794,5743
NR27,518,550,1068,4184,3828,8012
NR28,642,727,1369,6451,6011,12462
NR29,615,784,1399,8390,7701,16091
NR30,2406,2557,4963,9285,6812,16097
NR31,2604,3120,5724,17383,14638,32021
NR32,2160,2352,4512,13706,11813,25519
NR33,1775,2039,3814,14168,12587,26755
NR34,702,864,1566,8749,7996,16745
NR35,369,431,800,4336,3975,8311
NW00,3,1,4,3,1,4
NW01,7467,8129,15596,16554,11100,27654
NW01H,0,1,1,0,0,0
NW02,11773,10434,22207,26137,17001,43138
NW03,4965,5897,10862,19855,16764,36619
NW04,3928,3935,7863,13601,10303,23904
NW05,3532,4015,7547,8426,6728,15154
NW05O,0,1,1,0,0,0
NW06,8920,8998,17918,22415,17156,39571
NW07,2076,2500,4576,10905,9599,20504
NW08,4112,4922,9034,12571,9599,22170
NW09,9967,9905,19872,27817,18520,46337
NW10,18031,16462,34493,31412,20340,51752
NW11,3733,3544,7277,14139,12254,26393
NW12,3,1,4,0,1,1
NW13,0,1,1,2,1,3
NW14,1,0,1,1,0,1
NW15,0,0,0,2,0,2
NW16,4,1,5,3,0,3
NW17,0,0,0,2,1,3
NW18,1,0,1,1,1,2
NW19,0,1,1,1,1,2
NW20,0,1,1,1,0,1
NW21,1,0,1,0,0,0
NW22,1,0,1,2,0,2
NW24,1,0,1,0,0,0
NW25,0,0,0,0,2,2
NW26,1,1,2,0,0,0
NW28,0,0,0,0,1,1
NW44,2,0,2,0,0,0
NW51,1,0,1,0,0,0
NW70,1,0,1,0,0,0
NW77,0,1,1,0,0,0
NW96,0,0,0,1,0,1
NW99,2,0,2,0,0,0
OL00,1,0,1,0,0,0
OL01,2111,2490,4601,6115,4436,10551
OL01O,1,0,1,0,0,0
OL02,2041,2548,4589,14695,12824,27519
OL03,545,525,1070,6108,5899,12007
OL04,2948,3610,6558,14551,11402,25953
OL05,545,683,1228,4024,3517,7541
OL06,2208,2641,4849,9353,7006,16359
OL07,1190,1575,2765,5439,4064,9503
OL08,3641,4513,8154,11760,7844,19604
OL09,3094,3631,6725,12990,9699,22689
OL10,1912,2367,4279,9352,7761,17113
OL11,3203,3983,7186,14873,11803,26676
OL12,2787,3434,6221,15519,13055,28574
OL13,842,1092,1934,5669,4855,10524
OL14,823,1109,1932,5291,4776,10067
OL15,620,739,1359,5526,4971,10497
OL16,2692,3202,5894,12270,9714,21984
OX00,1,1,2,0,0,0
OX01,1759,1424,3183,6155,4866,11021
OX02,3118,3334,6452,13520,12363,25883
OX03,3558,4317,7875,13669,11358,25027
OX04,6194,6351,12545,18062,13692,31754
OX05,1453,1483,2936,9263,8235,17498
OX06,33,26,59,69,60,129
OX07,863,1090,1953,9568,9208,18776
OX08,47,46,93,154,124,278
OX09,570,642,1212,5990,5747,11737
OX10,1138,1334,2472,10429,9812,20241
OX11,1654,2193,3847,15266,13549,28815
OX12,1065,1308,2373,10689,9788,20477
OX13,490,629,1119,5983,5677,11660
OX14,2143,2531,4674,16990,15208,32198
OX15,609,670,1279,8472,8297,16769
OX16,3024,3773,6797,16995,13485,30480
OX17,476,595,1071,7493,7256,14749
OX18,910,1215,2125,9820,9040,18860
OX20,196,239,435,1942,1975,3917
OX23,0,0,0,1,0,1
OX25,354,508,862,4226,4096,8322
OX26,1849,2328,4177,12957,11280,24237
OX27,229,303,532,2902,2872,5774
OX28,1307,1554,2861,9929,9085,19014
OX29,856,975,1831,9902,9516,19418
OX33,285,314,599,3146,2989,6135
OX39,179,227,406,3265,3173,6438
OX44,229,348,577,3369,3224,6593
OX49,133,152,285,1720,1748,3468
PA00,0,0,0,1,0,1
PA01,1576,1658,3234,6999,5594,12593
PA02,2279,2936,5215,13208,11582,24790
PA03,2011,2454,4465,6892,5394,12286
PA04,1384,1779,3163,8514,7415,15929
PA05,1402,1819,3221,7018,5894,12912
PA06,134,204,338,2699,2664,5363
PA07,220,268,488,3197,3085,6282
PA08,754,935,1689,5303,4841,10144
PA09,59,83,142,736,693,1429
PA10,139,200,339,1456,1400,2856
PA11,215,256,471,2272,2192,4464
PA12,141,189,330,1262,1234,2496
PA13,141,153,294,1807,1839,3646
PA14,1238,1541,2779,4801,4029,8830
PA15,1389,1626,3015,4460,3559,8019
PA16,1971,2222,4193,9048,8071,17119
PA17,84,82,166,888,837,1725
PA18,76,102,178,1027,1002,2029
PA19,540,629,1169,4107,3738,7845
PA20,325,427,752,2094,1715,3809
PA21,43,31,74,334,292,626
PA22,16,4,20,135,138,273
PA23,726,888,1614,4330,4007,8337
PA24,20,20,40,218,168,386
PA25,2,4,6,26,24,50
PA26,9,6,15,57,42,99
PA27,18,33,51,299,294,593
PA28,395,445,840,2538,2200,4738
PA29,96,93,189,888,788,1676
PA30,64,69,133,495,495,990
PA31,200,247,447,2043,1831,3874
PA32,44,61,105,483,441,924
PA33,37,37,74,306,263,569
PA34,634,716,1350,3753,3298,7051
PA35,47,72,119,578,546,1124
PA36,2,1,3,20,15,35
PA37,129,148,277,1197,1130,2327
PA38,30,31,61,369,357,726
PA39,3,0,3,2,5,7
PA40,1,2,3,5,2,7
PA41,10,11,21,60,56,116
PA42,48,73,121,416,354,770
PA43,49,61,110,297,274,571
PA44,6,11,17,123,113,236
PA45,11,7,18,61,46,107
PA46,7,11,18,66,67,133
PA47,6,8,14,68,63,131
PA48,21,15,36,114,129,243
PA49,7,11,18,75,67,142
PA60,8,14,22,90,72,162
PA61,5,13,18,57,55,112
PA62,2,2,4,10,8,18
