DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,POINTS_1,POINTS_2,POINTS_3,POINTS_4,POINTS_5,POINTS_6,POINTS_7,POINTS_8,POINTS_9,POINTS_10,POINTS_11,POINTS_12,POINTS_13,POINTS_14,POINTS_15,POINTS_16,POINTS_17,POINTS_18,POINTS_19,POINTS_20,POINTS_21,POINTS_22,POINTS_23,POINTS_24,POINTS_25,POINTS_26,POINTS_27,POINTS_28,POINTS_29,POINTS_30,POINTS_31,POINTS_32,POINTS_33,POINTS_34,POINTS_35,POINTS_36,POINTS_37,POINTS_38,POINTS_39,POINTS_40,POINTS_41,POINTS_42,POINTS_43,POINTS_44,POINTS_45,POINTS_46,POINTS_47,POINTS_48,POINTS_49,POINTS_50,POINTS_51,POINTS_52,POINTS_53,POINTS_54,POINTS_55,POINTS_56,POINTS_57,POINTS_58,POINTS_59,POINTS_60,POINTS_61,POINTS_62,POINTS_63,POINTS_64,POINTS_65,POINTS_66,POINTS_67,POINTS_68,POINTS_69,POINTS_70,POINTS_71,POINTS_72,POINTS_73,POINTS_74,POINTS_75,POINTS_76,POINTS_77,POINTS_78,POINTS_79,POINTS_80,POINTS_81,POINTS_82,POINTS_83,POINTS_84,POINTS_85,POINTS_86,POINTS_87,POINTS_88,POINTS_89,POINTS_90,POINTS_91,POINTS_92,POINTS_93,POINTS_94,POINTS_95,POINTS_96,POINTS_97,POINTS_98,POINTS_99,POINTS_100
SO04,33,29,137,108,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO05,33,21,132,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO14,3363,2740,7690,3986,0,0,572,15,9,238,7,6,39,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO15,3021,3149,13481,10245,0,0,975,15,11,270,3,3,46,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO16,4528,5518,22684,18494,0,0,1645,34,21,503,7,12,75,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO17,1494,1424,5373,3708,0,0,323,5,6,112,1,1,24,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO18,2080,2468,12923,10893,0,0,988,10,7,278,5,5,43,6,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO19,3500,4465,19171,16206,0,0,1388,19,16,439,10,6,66,4,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO20,272,288,3435,3217,0,0,339,1,2,90,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO21,586,725,8079,7746,0,0,894,7,7,196,2,3,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
